index,type,type,name,usage(KB),total(KB),parentStack
1,  string,string,,11.8,11.8,
2,  rawfile,rawfile,radiant/keys.txt,28.0,28.0,|../zone_source/mod.csv|csv
3,  rawfile,rawfile,radiant/clientkeys.txt,24.6,24.6,|../zone_source/mod.csv|csv
4,  techset,techset,effect_add_nofog,1.9,1.9,|gfx_flamethrower_stream_fuel|material|sp/m2_flamethrower_zombie_upgraded|weapon|../zone_source/mod.csv|csv
5,  techset,techset,effect_zfeather_add_nofog,1.5,1.5,|gfx_fxt_fire_patch_ember_add|material|weapon/molotov/fx_molotov_wick_phase1|fx|sp/molotov|weapon|../zone_source/mod.csv|csv
6,  techset,techset,effect_zfeather,1.9,1.9,|gfx_fxt_smk_arc|material|explosions/fx_mortarexp_dirt|fx|sp/syrette|weapon|../zone_source/mod.csv|csv
7,  techset,techset,effect,1.5,1.5,|gfx_fxt_debris_gib_metal|material|weapon/bouncing_betty/fx_explosion_betty_generic|fx|../zone_source/zombiemode.csv|csv|../zone_source/mod.csv|csv
8,      image,image,fxt_fx_spark_field,0.0,0.0,|gfx_fxt_fx_spark_field|material|weapon/muzzleflashes/standardflashview_ug|fx|sp/zombie_type100_smg_upgraded|weapon|../zone_source/mod.csv|csv
9,    material,material,gfx_fxt_fx_spark_field,0.1,0.1,|weapon/muzzleflashes/standardflashview_ug|fx|sp/zombie_type100_smg_upgraded|weapon|../zone_source/mod.csv|csv
10,      image,image,fxt_fire_flame_clump,0.0,0.0,|gfx_fxt_fire_flame_clump|material|weapon/muzzleflashes/fx_sw357|fx|sp/zombie_sw_357|weapon|../zone_source/mod.csv|csv
11,    material,material,gfx_fxt_fire_flame_clump_z3,0.1,0.2,|env/fire/fx_fire_player_md|fx|../zone_source/flamethrower.csv|csv|../zone_source/zombiemode.csv|csv|../zone_source/mod.csv|csv
12,      image,image,fxt_fire_anim_sm,0.0,0.0,|gfx_fxt_fire_anim_sm|material|destructibles/fx_dest_fire_trail_sm|fx|../zone_source/flamethrower.csv|csv|../zone_source/zombiemode.csv|csv|../zone_source/mod.csv|csv
13,    material,material,gfx_fxt_fire_anim_sm_add_z3,0.1,0.2,|env/fire/fx_fire_player_torso|fx|../zone_source/flamethrower.csv|csv|../zone_source/zombiemode.csv|csv|../zone_source/mod.csv|csv
14,      image,image,fxt_smk_flamethrower_arc,0.0,0.0,|gfx_flamethrower_smoke_add|material|explosions/default_explosion|fx|sp/m7_launcher_zombie_upgraded|weapon|../zone_source/mod.csv|csv
15,    material,material,gfx_flamethrower_smoke_z3,0.1,0.2,|env/fire/fx_fire_player_torso|fx|../zone_source/flamethrower.csv|csv|../zone_source/zombiemode.csv|csv|../zone_source/mod.csv|csv
16,      image,image,fxt_smk_gen,0.0,0.0,|gfx_fxt_smk_gen_z40|material|weapon/molotov/fx_molotov_exp|fx|sp/molotov|weapon|../zone_source/mod.csv|csv
17,    material,material,gfx_fxt_smk_gen_z3,0.1,0.1,|maps/zombie/fx_zombie_dog_ash_trail|fx|../zone_source/zombiemode_dogs.csv|csv|../zone_source/mod.csv|csv
18,  fx,fx,env/fire/fx_fire_player_sm,9.5,10.2,|../zone_source/flamethrower.csv|csv|../zone_source/zombiemode.csv|csv|../zone_source/mod.csv|csv
19,  fx,fx,env/fire/fx_fire_player_sm_1sec,6.7,6.7,|../zone_source/flamethrower.csv|csv|../zone_source/zombiemode.csv|csv|../zone_source/mod.csv|csv
20,    material,material,gfx_fxt_fire_flame_clump_z10,0.1,0.1,|env/fire/fx_fire_player_torso|fx|../zone_source/flamethrower.csv|csv|../zone_source/zombiemode.csv|csv|../zone_source/mod.csv|csv
21,  fx,fx,env/fire/fx_fire_player_md,10.2,10.3,|../zone_source/flamethrower.csv|csv|../zone_source/zombiemode.csv|csv|../zone_source/mod.csv|csv
22,  techset,techset,distortion_scale_zfeather,2.6,2.6,|gfx_fxt_fx_distortion_shc_wave|material|misc/fx_exp_raygun_ug_impact|fx|sp/ray_gun_upgraded|weapon|../zone_source/mod.csv|csv
23,  techset,techset,distortion_scale,1.9,1.9,|gfx_fxt_fx_distortion_splash|material|weapon/muzzleflashes/fx_tesla_ug_world|fx|sp/tesla_gun_upgraded|weapon|../zone_source/mod.csv|csv
24,      image,image,fxt_fx_distortion_splash,0.0,0.0,|gfx_fxt_fx_distortion_splash|material|weapon/muzzleflashes/fx_tesla_ug_world|fx|sp/tesla_gun_upgraded|weapon|../zone_source/mod.csv|csv
25,    material,material,gfx_fxt_fx_distortion_splash,0.1,0.1,|weapon/muzzleflashes/fx_tesla_ug_world|fx|sp/tesla_gun_upgraded|weapon|../zone_source/mod.csv|csv
26,    material,material,gfx_fxt_fire_anim_sm_add,0.1,0.1,|weapon/molotov/fx_molotov_wick_phase1|fx|sp/molotov|weapon|../zone_source/mod.csv|csv
27,      image,image,fxt_exp_ember_omni,0.0,0.0,|gfx_fxt_exp_ember_omni|material|weapon/bouncing_betty/fx_explosion_betty_generic|fx|../zone_source/zombiemode.csv|csv|../zone_source/mod.csv|csv
28,    material,material,gfx_fxt_exp_ember_omni,0.1,0.2,|weapon/bouncing_betty/fx_explosion_betty_generic|fx|../zone_source/zombiemode.csv|csv|../zone_source/mod.csv|csv
29,  fx,fx,env/fire/fx_fire_player_torso,16.3,16.7,|../zone_source/flamethrower.csv|csv|../zone_source/zombiemode.csv|csv|../zone_source/mod.csv|csv
30,      image,image,fxt_light_flare,0.0,0.0,|gfx_fxt_light_flare_eo20|material|maps/zombie/fx_zombie_tesla_shock_secondary|fx|../zone_source/zombiemode.csv|csv|../zone_source/mod.csv|csv
