index,type,type,name,usage(KB),total(KB),parentStack
1,  string,string,,3.2,3.2,
2,  rawfile,rawfile,aitype/axis_zombie_ger_ber_sshonor.gsc,1.4,1.4,|../raw/aitype/axis_zombie_ger_ber_sshonor.csv|csv|axis_zombie_ger_ber_sshonor|aitype|maps/template.d3dbsp|col_map_sp|../zone_source/template.csv|csv
3,  rawfile,rawfile,character/char_ger_honorguard_zombies.gsc,3.6,3.6,|../raw/character/char_ger_honorguard_zombies.csv|csv|char_ger_honorguard_zombies|character|../raw/aitype/axis_zombie_ger_ber_sshonor.csv|csv|axis_zombie_ger_ber_sshonor|aitype|maps/template.d3dbsp|col_map_sp|../zone_source/template.csv|csv
4,  rawfile,rawfile,xmodelalias/char_ger_honorgd_bodyzalias.gsc,0.2,0.2,|../raw/xmodelalias/char_ger_honorgd_bodyzalias.csv|csv|char_ger_honorgd_bodyzalias|xmodelalias|../raw/character/char_ger_honorguard_zombies.csv|csv|char_ger_honorguard_zombies|character|../raw/aitype/axis_zombie_ger_ber_sshonor.csv|csv|axis_zombie_ger_ber_sshonor|aitype|maps/template.d3dbsp|col_map_sp|../zone_source/template.csv|csv
5,  techset,techset,mc_l_sm_r0c0d0n0s0_clothcharr,0.0,0.0,|mc/mtl_char_ger_honorguard_metal1_2|material|char_ger_honorgd_body1_2_g_behead|xmodel|../raw/character/char_ger_honorguard2_zombies.csv|csv|char_ger_honorguard2_zombies|character|../raw/aitype/axis_zombie_ger_ber_sshonor.csv|csv|axis_zombie_ger_ber_sshonor|aitype|maps/template.d3dbsp|col_map_sp|../zone_source/template.csv|csv
6,  techset,techset,mc_l_sm_r0c0_clothcharr,0.0,0.0,|mc/mtl_char_ger_honorguard_linen1_1|material|char_ger_honorgd_body1_g_legsoff_1|xmodel|../raw/xmodelalias/char_ger_hnrgrd_body1_g_legsoffalias.csv|csv|char_ger_hnrgrd_body1_g_legsoffalias|xmodelalias|../raw/character/char_ger_honorguard_zombies.csv|csv|char_ger_honorguard_zombies|character|../raw/aitype/axis_zombie_ger_ber_sshonor.csv|csv|axis_zombie_ger_ber_sshonor|aitype|maps/template.d3dbsp|col_map_sp|../zone_source/template.csv|csv
7,  techset,techset,mc_l_sm_r0c0s0_clothcharr,0.0,0.0,|mc/mtl_char_ger_honorguard_linen1_1|material|char_ger_honorgd_body1_g_legsoff_1|xmodel|../raw/xmodelalias/char_ger_hnrgrd_body1_g_legsoffalias.csv|csv|char_ger_hnrgrd_body1_g_legsoffalias|xmodelalias|../raw/character/char_ger_honorguard_zombies.csv|csv|char_ger_honorguard_zombies|character|../raw/aitype/axis_zombie_ger_ber_sshonor.csv|csv|axis_zombie_ger_ber_sshonor|aitype|maps/template.d3dbsp|col_map_sp|../zone_source/template.csv|csv
8,  techset,techset,mc_l_sm_r0c0n0_clothcharr,0.0,0.0,|mc/mtl_char_ger_honorguard_linen1_1|material|char_ger_honorgd_body1_g_legsoff_1|xmodel|../raw/xmodelalias/char_ger_hnrgrd_body1_g_legsoffalias.csv|csv|char_ger_hnrgrd_body1_g_legsoffalias|xmodelalias|../raw/character/char_ger_honorguard_zombies.csv|csv|char_ger_honorguard_zombies|character|../raw/aitype/axis_zombie_ger_ber_sshonor.csv|csv|axis_zombie_ger_ber_sshonor|aitype|maps/template.d3dbsp|col_map_sp|../zone_source/template.csv|csv
9,  techset,techset,mc_l_sm_r0c0n0s0_clothcharr,0.0,0.0,|mc/mtl_char_ger_honorguard_body1_2|material|char_ger_honorgd_bodyz2_2|xmodel|../raw/xmodelalias/char_ger_honorgd2_bodyzalias.csv|csv|char_ger_honorgd2_bodyzalias|xmodelalias|../raw/character/char_ger_honorguard2_zombies.csv|csv|char_ger_honorguard2_zombies|character|../raw/aitype/axis_zombie_ger_ber_sshonor.csv|csv|axis_zombie_ger_ber_sshonor|aitype|maps/template.d3dbsp|col_map_sp|../zone_source/template.csv|csv
10,  techset,techset,mc_l_sm_r0c0d0_clothcharr,0.0,0.0,|mc/mtl_char_ger_honorguard_linen1_1|material|char_ger_honorgd_body1_g_legsoff_1|xmodel|../raw/xmodelalias/char_ger_hnrgrd_body1_g_legsoffalias.csv|csv|char_ger_hnrgrd_body1_g_legsoffalias|xmodelalias|../raw/character/char_ger_honorguard_zombies.csv|csv|char_ger_honorguard_zombies|character|../raw/aitype/axis_zombie_ger_ber_sshonor.csv|csv|axis_zombie_ger_ber_sshonor|aitype|maps/template.d3dbsp|col_map_sp|../zone_source/template.csv|csv
11,  techset,techset,mc_l_sm_r0c0d0s0_clothcharr,0.0,0.0,|mc/mtl_char_ger_honorguard_linen1_1|material|char_ger_honorgd_body1_g_legsoff_1|xmodel|../raw/xmodelalias/char_ger_hnrgrd_body1_g_legsoffalias.csv|csv|char_ger_hnrgrd_body1_g_legsoffalias|xmodelalias|../raw/character/char_ger_honorguard_zombies.csv|csv|char_ger_honorguard_zombies|character|../raw/aitype/axis_zombie_ger_ber_sshonor.csv|csv|axis_zombie_ger_ber_sshonor|aitype|maps/template.d3dbsp|col_map_sp|../zone_source/template.csv|csv
